Data,Valor,Descrição
2025-07-11,-81.26,TED TER BCO 33 AGE 2271 CTA 13017209 1 - TED APLICAÇÃO FUNDOS Trend Investback F
2025-07-11,81.26,Investback
2025-07-10,-185,Transferência enviada para a conta digital
2025-07-10,-150,Transferência enviada para a conta digital
2025-07-07,-1462,Transferência enviada para a conta digital
2025-06-30,-150,TED BCO 348 AGE 1  CTA 7686731  - RETIRADA EM C/C
2025-06-30,6.07,JUROS S/ CAPITAL DE CLIENTES CMIG4 S/             73
2025-06-26,20.4,JUROS S/ CAPITAL DE CLIENTES SAPR11 S/             30
2025-06-24,-380,TED BCO 348 AGE 1  CTA 7686731  - RETIRADA EM C/C
